entity_id,name_en,name_ru,name_ar,name_zh,name_ja,name_he,name_hi,name_el,name_ko
Q1000542,Christina Kauschke,,,,,,,,
Q100054253,Prune de Maistre,Прюн де Мэтр,,,,פרון דה מסטר,,,
Q1000545,Friedrich von Romberg,,,,,,,,
Q100054690,Domenico Bellando,,,,,,,,
Q1000549,Bud Thackery,Бад Зэкери,,巴德·萨克雷,バド・サッカリー,,,,
Q1000551,Sári Ferenczi,,,,,,,,
Q100055128,Camille Bourdeau,,,,,,,,
Q1000552,Tóbiás Ferenczi,,,,,,,,
Q1000555,Zoltán Ferenczi,,,,,,,,
Q1000556,Bud Poile,Бад Пойл,,,,,,,
Q100055775,Sarah Ceyte,,,,,,,,
Q100055784,Carmen Román,,,,,,,,
Q1000559,Gyula Ferenczy,,,,,,,,
Q1000561,György Ferenczy,,,,,,,,
Q1000563,György Ferenczy,Дьёрдь Ференци,,,,,,,
Q100056337,Nino Rebora,,,,,,,,
Q1000565,Imre Ferenczy,,,,,,,,
Q1000567,János Ferenczy,,,,,,,,
Q1000568,Jakab Zsigmond Ferenczy,,,,,,,,
Q100056930,Pietro Bottesini,,,,,,,,
Q100056990,Paolo Truzzi,,,,,,,,
Q100057080,Jarle Vaage,,,,,,,,
Q1000571,József Ferenczy,,,,,,,,
Q100057108,Myriam Domecq Ybarra,,,,,,,,
Q100057301,Christophe Rolin,,,,,,,,
Q1000574,József Ferenczy,,,,,,,,
Q1000575,Júlia Ferenczy,,,,,,,,
Q1000576,József Ferenczy,,,,,,,,페렌치 요제프
Q100057725,Maida Bryant,,,,,,,,
Q100057869,Stephanie Summerow Dumas,,,,,,,,
Q1000579,Károly Ferenczy,,,,,,,,
Q100058010,Devin G. Walker,,ديفين جورج ووكر,,,,,,
Q1000581,Jakob Friedrich von Rösch,,,,,,,,
Q1000586,Lajos Ferenczy,,,,,,,,
Q100058741,Aniello Barbati,,,,,,,,
Q100058792,Vincent Abato,,,,ヴィンセント・アバト,,,,
Q1000588,Chiharu Matsuyama,Тихару Мацуяма,تشيهارو ماتسوياما,松山千春,松山千春,,,,마쓰야마 지하루
Q1000591,Miklós Ferenczy,,,,,,,,
Q1000592,Tyson Fury,Тайсон Фьюри,تايسون فيوري,泰森·福里,タイソン・フューリー,טייסון פיורי,,,타이슨 퓨리
Q1000593,László Ferenczy,,,,,,,Λάσλο Φερέντσι,페렌치 라슬로
Q1000596,Noémi Ferenczy,Ноэми Ференци,,,,,,,
Q100059631,Cristina Domecq Ybarra,,,,,,,,
Q1000598,Teréz Ferenczy,,,,,,,,
Q1000600,Godai Tomoatsu,Томоацу Годаи,,五代友厚,五代友厚,,,,고다이 도모아쓰
Q1000601,Valér Ferenczy,Валер Ференци,,,,,,,
Q1000602,Zsizsi Ferenczy,,,,,,,,
Q100060227,Pietro Paolo Pagliuolo,,,,,,,,
Q100060463,Miguel Domecq Ybarra,,,,,,,,
Q1000605,Árpád Ferenczy,,,,,,,,
Q1000606,Ferentzi György,,,,,,,,
Q1000608,János Ferenczi,,,,,,,,
Q100060999,Matilde Domecq Ybarra,,,,,,,,
Q1000618,János Ferge,,,,,,,,
Q1000619,Sonja Gerstner,,,,,,,,
Q1000620,István Ferge,,,,,,,,
Q1000621,József Ferge,,,,,,,,
Q1000622,Zsuzsa Ferge,Жужа Ферге,,费尔格·茹饶,,ז'וז'ה פרגה,,,
Q1000626,Hiroshi Yanaka,Хироси Янака,هيروشي ياناكا,家中宏,家中宏,הירושי יאנאקה,,,야나카 히로시
Q100062804,Francesco Antolini,,,,,,,,
Q1000629,Attila Feri,,,,フェリ・アッティラ,,,,
Q100063,Ragnhild Haga,Рагниль Хага,,拉格茜爾·哈加,,,,,랑힐 하가
Q1000631,Steffen Gräbner,,,斯特芬·格拉布纳,,,,,
Q100063177,Raizō Kanda,,,,神田鐳蔵,,,,
Q100063699,David Shaw Parker,,,,,,,,
Q1000637,Oluf Borch de Schouboe,,,,,,,,
Q100063874,Catherine Musson,,,,,,,,
Q1000643,Sámuel Ferjencsik,,,,,,,,
Q1000644,István Ferincz,,,,,,,,
Q1000649,András Ferkai,,,,,,,,
Q100064924,Pietro Cominazzi,,,,,,,,
Q100065001,Edoardo Serpieri,,,,,,,,
Q1000652,Csaba Ferkó,,,,,,,,
Q100065715,Marco Buscovich,,,,,,,,
Q100065772,Clara Benson,,,,,,,,
Q100066,Holly Brooks,Холли Брукс,هولي بروكس,,,,,,홀리 브룩스
Q100066085,Anne-Laurence Mennessier,,,,,,,,
